300X2,300X3,300X4,300X6,300X7,300X9,300X10,300X13,300X14,300X20
20170727154101.0,20170727154030.0,20170727154153.0,20170727154030.0,20170727153958.0,20170727153909.0,20170727153849.0,20170727153958.0,20170727153909.0,20170727153215.0
NA,NA,20170727153852.0,NA,20170727153730.0,20170727153641.0,20170727153621.0,20170727153730.0,20170727153641.0,20170727153142.0
20170727154507.0,20170727154436.0,20170727154541.0,20170727154436.0,20170727154403.0,20170727154315.0,20170727154255.0,20170727154403.0,20170727154315.0,20170727153545.0
20170726140931.0,20170726140859.0,20170726140945.0,20170726140859.0,20170726140813.0,20170726140724.0,20170726140705.0,20170726140813.0,20170726140724.0,20170726140045.0
20170726141719.0,20170726141647.0,20170726141733.0,20170726141647.0,20170726141558.0,20170726141509.0,20170726141449.0,20170726141558.0,20170726141509.0,20170726140829.0
20170726144033.0,20170726144002.0,20170726144048.0,20170726144002.0,20170726143916.0,20170726143827.0,20170726143807.0,20170726143916.0,20170726143827.0,20170726143149.0
20170726145212.0,20170726145141.0,20170726145237.0,20170726145141.0,NA,20170726145020.0,20170726145000.0,NA,20170726145020.0,20170726144513.0
20170725194904.0,20170725194833.0,NA,20170725194833.0,20170725194801.0,NA,20170725194652.0,20170725194801.0,NA,20170725193953.0
20170725195027.0,20170725194956.0,20170725194937.0,20170725194956.0,20170725194920.0,20170725194831.0,20170725194811.0,20170725194920.0,20170725194831.0,20170725194142.0
20170725195815.0,20170725195743.0,20170725195829.0,20170725195743.0,20170725195709.0,20170725195620.0,20170725195600.0,20170725195709.0,20170725195620.0,20170725194925.0
20170725200601.0,20170725200529.0,20170725200511.0,20170725200529.0,20170725200453.0,20170725200404.0,20170725200344.0,20170725200453.0,20170725200404.0,20170725195714.0
20170725230322.0,20170725230250.0,20170725230354.0,20170725230250.0,20170725230218.0,20170725230129.0,20170725230109.0,20170725230218.0,20170725230129.0,20170725225401.0
20170725230057.0,20170725230026.0,20170725230007.0,20170725230026.0,20170725225934.0,20170725225846.0,20170725225826.0,20170725225934.0,20170725225846.0,20170725225205.0
20170726121204.0,20170726121132.0,20170725230752.0,20170726121132.0,20170726121100.0,20170726121011.0,20170726120952.0,20170726121100.0,20170726121011.0,20170726120653.0
20170727023308.0,20170727023237.0,20170727023204.0,20170727023237.0,20170727023205.0,20170727023115.0,20170727023056.0,20170727023205.0,20170727023115.0,20170727022757.0
20170727023149.0,20170727023118.0,NA,20170727023118.0,20170727023046.0,20170727022957.0,20170727022937.0,20170727023046.0,20170727022957.0,20170727022725.0
20170727023700.0,NA,20170727023451.0,20170727023629.0,NA,20170727023508.0,20170727023448.0,NA,20170727023508.0,20170727022948.0
20170727023436.0,20170727023405.0,20170727023346.0,20170727023405.0,20170727023324.0,20170727023235.0,20170727023215.0,20170727023324.0,20170727023235.0,20170727022915.0
20170727024049.0,20170727024017.0,20170727024121.0,20170727024017.0,20170727023945.0,20170727023856.0,20170727023836.0,20170727023945.0,20170727023856.0,20170727023138.0
20170727023824.0,20170727023753.0,20170727023734.0,20170727023753.0,20170727023716.0,20170727023627.0,20170727023607.0,20170727023716.0,20170727023627.0,20170727023105.0
20170727024435.0,20170727024404.0,20170727024528.0,20170727024404.0,20170727024332.0,20170727024243.0,20170727024223.0,20170727024332.0,20170727024243.0,20170727023530.0
20170727024211.0,20170727024140.0,20170727024226.0,20170727024140.0,20170727024104.0,20170727024015.0,20170727023955.0,20170727024104.0,NA,20170727023335.0
20170727024843.0,20170727024812.0,NA,20170727024812.0,20170727024739.0,20170727024650.0,20170727024631.0,20170727024739.0,20170727024650.0,20170727023919.0
20170727024619.0,20170727024547.0,20170727024633.0,20170727024547.0,NA,20170727024402.0,20170727024342.0,NA,20170727024402.0,20170727023722.0
20170725055828.0,20170725055757.0,20170725055955.0,20170725055757.0,20170725055725.0,20170725055635.0,20170725055540.0,20170725055725.0,20170725055635.0,20170725055147.0
20170725064029.0,20170725063957.0,20170725064044.0,20170725063957.0,20170725063850.0,20170725063801.0,20170725063742.0,20170725063850.0,20170725063801.0,20170725063440.0
20170727031607.0,20170727031536.0,20170727031622.0,NA,20170727031504.0,20170727031414.0,20170727031355.0,20170727031504.0,20170727031414.0,20170727030837.0
20170725064522.0,20170725064451.0,20170725064649.0,20170725064451.0,20170725064418.0,20170725064329.0,20170725064240.0,20170725064418.0,20170725064329.0,20170725063845.0
20170725072725.0,20170725072654.0,20170725072740.0,20170725072654.0,20170725072548.0,20170725072459.0,20170725072439.0,20170725072548.0,20170725072459.0,20170725072135.0
20170725051129.0,20170725051057.0,20170725051255.0,20170725051057.0,20170725051025.0,20170725050936.0,20170725050846.0,20170725051025.0,20170725050936.0,20170725050355.0
