311X29,311X30,311X31,311X32,311X99,311X100,311X187,311X188,261X373,261X374,261X559,261X560,261X745,261X746
20170727154455,20170727155026.0,20170727154358,20170727154937.0,20170727154547,20170727154527,20170727154551,20170727154547,20170727154605,20170727154552,20170727154611,20170727154605,20170727154624,20170727154611
20170727154358,20170727154741.0,20170727154301,20170727154653.0,20170727154506,20170727154446,20170727154510,20170727154506,20170727154524,20170727154511,20170727154531,20170727154524,20170727154544,20170727154531
20170727154839,20170727155501.0,20170727154747,20170727155325.0,20170727154941,20170727154921,20170727154945,20170727154941,20170727154959,20170727154946,20170727155006,20170727154959,20170727155019,20170727155006
20170726141505,20170726141819.0,20170726141409,20170726141728.0,20170726141558,20170726141538,20170726141602,20170726141558,20170726141616,20170726141603,20170726141623,20170726141616,20170726141636,20170726141623
20170726142247,20170726142600.0,20170726142155,20170726142510.0,20170726142339,20170726142318,20170726142343,20170726142339,20170726142357,20170726142344,20170726142403,20170726142357,20170726142417,20170726142403
20170726144611,20170726144922.0,20170726144515,20170726144833.0,20170726144704,20170726144644,20170726144708,20170726144704,20170726144722,20170726144709,20170726144729,20170726144722,20170726144742,20170726144729
20170726145539,20170726145914.0,20170726145432,20170726145820.0,20170726145654,20170726145634,20170726145658,20170726145654,20170726145712,20170726145659,20170726145718,20170726145712,20170726145731,20170726145718
20170725195305,20170725195815.0,20170725195213,20170725195724.0,20170725195357,20170725195337,20170725195401,20170725195357,20170725195415,20170725195402,20170725195422,20170725195415,20170725195435,20170725195422
20170725195535,20170725195859.0,20170725195438,20170725195805.0,20170725195627,20170725195607,20170725195631,20170725195627,20170725195645,20170725195632,20170725195652,20170725195645,20170725195705,20170725195652
20170725200315,20170725200648.0,20170725200223,20170725200556.0,20170725200405,20170725200345,20170725200409,20170725200405,20170725200423,20170725200410,20170725200430,20170725200423,20170725200443,20170725200430
20170725201108,20170725201434.0,20170725201011,20170725201339.0,20170725201200,20170725201140,20170725201204,20170725201200,20170725201218,20170725201205,20170725201225,20170725201218,20170725201238,20170725201225
20170725230724,20170725231139.0,20170725230628,20170725231051.0,20170725230812,20170725230752,20170725230816,20170725230812,20170725230830,20170725230817,20170725230837,20170725230830,20170725230850,20170725230837
20170725230626,NA,20170725230534,NA,20170725230714,20170725230654,20170725230718,20170725230714,20170725230732,20170725230719,20170725230739,20170725230733,20170725230752,20170725230739
20170726121553,20170726122106.0,20170726121501,20170726122017.0,20170726121649,20170726121629,20170726121653,20170726121649,20170726121707,20170726121654,20170726121714,20170726121707,20170726121727,20170726121714
20170727023708,20170727024231.0,20170727023612,20170727024141.0,20170727023802,20170727023742,20170727023806,20170727023802,20170727023820,20170727023807,20170727023826,20170727023820,20170727023839,20170727023826
20170727023612,20170727023940.0,20170727023520,20170727023842.0,20170727023707,20170727023647,20170727023711,20170727023707,20170727023725,20170727023712,20170727023732,20170727023725,20170727023745,20170727023732
20170727024040,20170727024417.0,20170727023944,20170727024313.0,20170727024138,20170727024118,20170727024142,20170727024138,20170727024156,20170727024143,20170727024202,20170727024156,20170727024215,20170727024202
20170727023940,20170727024317.0,20170727023848,20170727024224.0,20170727024027,20170727024006,20170727024031,20170727024027,20170727024045,20170727024032,20170727024051,20170727024045,20170727024105,20170727024051
20170727024511,20170727025026.0,20170727024421,20170727024936.0,20170727024556,20170727024536,20170727024600,20170727024556,20170727024614,20170727024601,20170727024621,20170727024614,20170727024634,20170727024621
20170727024421,20170727024738.0,20170727024324,20170727024646.0,20170727024506,20170727024446,20170727024510,20170727024506,20170727024525,20170727024511,20170727024531,20170727024525,20170727024544,20170727024531
20170727024836,20170727025208.0,20170727024745,20170727025107.0,20170727024941,20170727024920,20170727024945,20170727024941,20170727024958,20170727024946,20170727025005,20170727024959,20170727025018,20170727025005
20170727024745,20170727025113.0,20170727024648,20170727025017.0,20170727024828,20170727024808,20170727024832,20170727024828,20170727024857,20170727024833,20170727024904,20170727024857,20170727024917,20170727024904
20170727025311,20170727025820.0,20170727025215,20170727025730.0,20170727025357,20170727025337,20170727025401,20170727025357,20170727025415,20170727025402,20170727025422,20170727025415,20170727025435,20170727025422
20170727025210,20170727025528.0,20170727025118,20170727025436.0,20170727025259,20170727025239,20170727025303,20170727025259,20170727025317,20170727025304,20170727025323,20170727025317,20170727025337,20170727025323
20170725061253,20170725061720.0,20170725061009,20170725061646.0,20170725061445,20170725061425,20170725061449,20170725061445,20170725061503,20170725061450,20170725061510,20170725061503,20170725061523,20170725061510
20170725065428,20170725065857.0,20170725065144,20170725065821.0,20170725065617,20170725065557,20170725065621,20170725065617,20170725065636,20170725065622,20170725065642,20170725065636,20170725065656,20170725065642
20170727031957,20170727032347.0,20170727031901,20170727032253.0,20170727032115,20170727032055,20170727032119,20170727032115,20170727032133,20170727032120,20170727032140,20170727032133,20170727032153,20170727032140
20170725065950,NA,20170725065708,NA,20170725070141,20170725070121,20170725070145,20170725070141,20170725070200,20170725070146,20170725070206,20170725070200,20170725070220,20170725070206
20170725074123,20170725074613.0,20170725073844,20170725074541.0,20170725074314,20170725074254,20170725074318,20170725074314,20170725074333,20170725074319,20170725074339,20170725074333,20170725074353,20170725074339
20170725052655,20170725053121.0,20170725052412,20170725053049.0,20170725052844,20170725052824,20170725052849,20170725052844,20170725052903,20170725052849,20170725052910,20170725052903,20170725052923,20170725052910
20170725060729,NA,20170725060447,NA,20170725060919,20170725060859,20170725060923,20170725060919,20170725060938,20170725060924,20170725060944,20170725060938,20170725060958,20170725060944
20170727201941,20170727202309.0,20170727201849,20170727202210.0,20170727202044,20170727202024,20170727202048,20170727202044,20170727202102,20170727202049,20170727202109,20170727202102,20170727202122,20170727202109
20170727201851,20170727202215.0,20170727201755,20170727202121.0,20170727201942,20170727201922,20170727201946,20170727201942,20170727202000,20170727201947,20170727202007,20170727202000,20170727202020,20170727202007
20170727202412,20170727202916.0,20170727202316,20170727202826.0,20170727202501,20170727202441,20170727202505,20170727202501,20170727202519,20170727202506,20170727202526,20170727202519,20170727202539,20170727202526
20170727004232,20170727004743.0,20170727004139,20170727004655.0,20170727004317,20170727004257,20170727004321,20170727004317,20170727004335,20170727004322,20170727004341,20170727004335,20170727004354,20170727004341
20170727004141,20170727004456.0,20170727004043,20170727004406.0,20170727004228,20170727004208,20170727004232,20170727004228,20170727004246,20170727004233,20170727004253,20170727004246,20170727004306,20170727004253
20170727004553,20170727004927.0,20170727004503,20170727004825.0,20170727004648,20170727004628,20170727004652,20170727004648,20170727004706,20170727004653,20170727004713,20170727004706,20170727004726,20170727004713
20170730110317,20170730110647.0,20170730110226,20170730110546.0,20170730110421,20170730110401,20170730110425,20170730110421,20170730110439,20170730110426,20170730110445,20170730110439,20170730110458,20170730110445
20170730110749,20170730111253.0,20170730110651,20170730111203.0,20170730110836,20170730110816,20170730110840,20170730110836,20170730110854,20170730110841,20170730110901,20170730110854,20170730110914,20170730110901
20170726211927,20170726212451.0,20170726211834,20170726212402.0,20170726212114,20170726212054,20170726212118,20170726212114,20170726212132,20170726212119,20170726212139,20170726212132,20170726212152,20170726212139
20170726220629,20170726220952.0,20170726220533,20170726220855.0,20170726220637,20170726220617,20170726220641,20170726220637,20170726220655,20170726220642,20170726220702,20170726220655,20170726220803,20170726220702
20170726223715,20170726224032.0,20170726223618,20170726223941.0,20170726223808,20170726223748,20170726223812,20170726223808,20170726223826,20170726223813,20170726223833,20170726223826,20170726223846,20170726223833
20170726012057,20170726012610.0,20170726012001,20170726012520.0,20170726012146,20170726012126,20170726012150,20170726012146,20170726012204,20170726012151,20170726012211,20170726012204,20170726012224,20170726012211
20170726025034,20170726025604.0,20170726024938,20170726025516.0,20170726025130,20170726025110,20170726025135,20170726025131,20170726025148,20170726025135,20170726025155,20170726025148,20170726025208,20170726025155
20170726224131,20170726224502.0,20170726224038,20170726224401.0,20170726224230,20170726224210,20170726224234,20170726224230,20170726224248,20170726224235,20170726224254,20170726224248,20170726224307,20170726224254
20170726033648,20170726034000.0,20170726033552,20170726033910.0,20170726033741,20170726033721,20170726033745,20170726033741,20170726033759,20170726033746,20170726033806,20170726033759,20170726033819,20170726033806
20170727220047,20170727220415.0,20170727215950,20170727220316.0,20170727220146,20170727220125,20170727220150,20170727220146,20170727220203,20170727220150,20170727220210,20170727220203,20170727220223,20170727220210
