220X67,220X71,220X75,220X79,220X83,220X87,220X91,220X95,220X225,220X226,220X227,220X228,220X229,220X230,220X231,220X232,220X233,220X234,220X235,220X236
2017072611232173.0,2017072611214726,2017072611230620.0,2017072611220489,2017072611230903.0,2017072611214304,2017072611230385.0,2017072611220135,20170726110800.0,20170726110800.0,20170726105236.0,20170726105035.0,20170726105001.0,20170726104923.0,20170726101945.0,20170726101945.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072611220745.0,2017072611203201,2017072611215196.0,2017072611204792,2017072611215485.0,2017072611202779,2017072611214971.0,2017072611204440,20170726110647.0,20170726110647.0,20170726105132.0,20170726104932.0,20170726104858.0,20170726104647.0,20170726101840.0,20170726101840.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072611205048.0,2017072611191653,2017072611203501.0,2017072611193410,2017072611203785.0,2017072611191231,2017072611203276.0,2017072611193059,20170726110533.0,20170726110533.0,20170726105030.0,20170726104656.0,20170726104619.0,20170726104531.0,20170726101736.0,20170726101736.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072502103926.0,2017072502090981,2017072502102379.0,2017072502093412,2017072502102667.0,2017072502090560,2017072502102154.0,2017072502093060,20170725022729.0,20170725022729.0,20170725021112.0,20170725020913.0,20170725020839.0,20170725020745.0,20170725013602.0,20170725013602.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072502061259.0,2017072502044293,2017072502055700.0,2017072502050735,2017072502055992.0,2017072502043871,2017072502055475.0,2017072502050384,20170725022141.0,20170725022141.0,20170725020646.0,20170725020447.0,20170725020413.0,20170725020335.0,20170725013118.0,20170725013118.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072501524879.0,2017072501510239,2017072501523328.0,2017072501514375,2017072501523618.0,2017072501505818,2017072501523104.0,2017072501514021,20170725020715.0,20170725020715.0,20170725015322.0,20170725015106.0,20170725015033.0,20170725014954.0,20170725011816.0,20170725011816.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072501471154.0,2017072501422837,2017072501465606.0,2017072501460657,2017072501465892.0,2017072501422415,2017072501465385.0,2017072501460301,20170725020045.0,20170725020045.0,20170725014745.0,20170725014232.0,20170725014158.0,20170725014104.0,20170725010320.0,20170725010320.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072421153298.0,2017072421135804,2017072421151740.0,2017072421141903,2017072421152028.0,2017072421135381,2017072421151514.0,2017072421141550,20170724213239.0,20170724213239.0,20170724211626.0,20170724211401.0,20170724211324.0,20170724211237.0,20170724204642.0,20170724204642.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072421114673.0,2017072421101384,2017072421113118.0,2017072421103146,2017072421113404.0,2017072421100964,2017072421112893.0,2017072421102793,20170724212901.0,20170724212901.0,20170724211239.0,20170724211017.0,20170724210940.0,20170724210739.0,20170724204307.0,20170724204307.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072421054303.0,2017072421041285,2017072421052753.0,2017072421043757,2017072421053039.0,2017072421040865,2017072421052528.0,2017072421043403,20170724212357.0,20170724212357.0,20170724210627.0,20170724210415.0,20170724210341.0,20170724210304.0,20170724203709.0,20170724203709.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072421013150.0,2017072420590387,2017072421011595.0,2017072420594770,2017072421011881.0,2017072420585965,2017072421011370.0,2017072420594417,20170724211855.0,20170724211855.0,20170724210203.0,20170724205907.0,20170724205833.0,20170724205755.0,20170724202839.0,20170724202839.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072411320070.0,2017072411302765,2017072411314482.0,2017072411305279,2017072411314807.0,2017072411302345,2017072411314257.0,2017072411304926,20170724114739.0,20170724114739.0,20170724113236.0,20170724113029.0,20170724112956.0,20170724112918.0,20170724104715.0,20170724104715.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072411305534.0,2017072411292560,2017072411303985.0,2017072411295014,2017072411304271.0,2017072411292140,2017072411303762.0,2017072411294659,20170724114644.0,20170724114644.0,20170724113126.0,20170724112927.0,20170724112853.0,20170724112815.0,20170724104601.0,20170724104601.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
